transaction_amount,transaction_velocity,network_latency,merchant_age_days,geo_distance,device_risk,retry_count,bank_latency,hour_of_day,merchant_risk,fraud_label,routing_failure_label,reliability_failure_label
12049.68,6,117.26,104.06,52.92,0.143,0,277.29,18,0.201,0,0,1
1414.61,7,273.98,317.46,54.02,0.204,0,245.36,18,0.202,0,0,1
850.87,3,296.42,331.02,59.62,0.034,0,197.01,15,0.317,0,1,0
742.84,4,181.96,74.23,28.05,0.644,1,198.84,8,0.245,0,0,0
799.66,8,250.92,577.77,138.95,0.669,1,126.82,20,0.515,1,0,1
1673.88,5,226.17,98.86,22.8,0.291,2,215.0,4,0.596,0,0,0
2543.13,4,303.42,61.81,116.18,0.474,3,61.12,23,0.084,0,0,0
2384.37,4,215.7,26.99,3.11,0.326,0,123.09,23,0.333,0,0,1
4134.75,5,24.32,2117.66,94.59,0.411,0,250.36,8,0.063,0,0,1
1831.7,5,311.26,404.32,18.07,0.026,0,213.61,19,0.188,0,0,0
7735.18,4,240.61,266.91,53.91,0.207,2,186.45,8,0.249,0,0,1
1387.62,3,310.41,526.65,2.83,0.189,0,226.17,6,0.482,0,0,0
27451.31,6,142.99,137.29,4.17,0.577,1,67.68,3,0.403,0,0,1
3380.12,8,212.42,416.91,2.93,0.213,0,349.88,6,0.035,0,0,1
767.27,5,183.77,169.12,33.17,0.356,0,157.1,19,0.124,0,1,1
619.62,5,353.19,290.38,26.91,0.108,1,206.03,10,0.272,0,0,0
2929.16,3,325.39,2063.89,19.22,0.085,0,225.86,1,0.736,0,0,0
1445.97,5,425.56,128.79,29.53,0.194,0,177.02,9,0.237,0,0,0
3692.28,5,231.15,513.73,18.81,0.102,0,163.11,4,0.316,0,0,0
2902.24,10,94.75,865.07,102.59,0.089,0,192.49,2,0.703,0,0,0
1681.05,4,119.82,2000.8,41.37,0.214,1,169.92,3,0.382,0,1,0
775.27,4,354.75,2051.27,18.57,0.412,1,196.15,23,0.452,0,0,0
397.48,9,403.93,227.23,30.32,0.279,0,286.05,8,0.073,0,0,0
1156.88,5,86.38,2293.94,100.93,0.017,2,149.24,19,0.313,0,0,0
4257.34,4,185.03,322.04,26.31,0.11,0,184.93,8,0.669,0,0,0
2239.69,2,111.58,1802.44,27.86,0.291,1,117.33,1,0.183,0,0,0
520.22,4,484.99,78.27,20.6,0.033,1,158.34,18,0.07,0,0,0
2149.91,4,291.61,176.87,15.09,0.382,0,20.0,21,0.356,0,0,0
2657.97,5,140.06,65.83,31.91,0.163,2,222.8,10,0.546,0,0,0
747.06,2,133.53,284.23,66.7,0.267,0,220.26,6,0.396,0,0,0
2108.49,8,419.58,1656.25,22.94,0.289,4,138.39,21,0.279,0,1,1
1916.41,3,322.53,138.79,12.86,0.191,1,299.92,11,0.474,0,0,1
576.53,5,249.35,203.76,53.94,0.118,0,208.65,19,0.339,0,0,0
2585.79,4,193.82,194.87,82.66,0.231,1,169.69,0,0.308,0,0,1
3167.77,5,196.93,256.93,1.1,0.295,0,20.0,14,0.596,0,0,0
5340.38,7,78.9,15.09,50.04,0.137,1,101.12,17,0.248,0,0,1
5186.44,6,160.51,441.11,115.59,0.441,3,254.04,17,0.526,0,0,1
455.93,7,190.58,2993.59,4.63,0.115,1,86.37,4,0.403,0,1,0
707.81,3,229.06,475.49,114.76,0.187,0,254.97,13,0.327,0,0,0
3026.12,8,235.7,1342.77,6.26,0.186,1,140.14,0,0.286,0,0,0
3022.34,3,360.46,677.84,287.74,0.176,0,151.53,20,0.139,0,0,0
3026.15,6,157.86,12.0,35.85,0.672,2,192.05,8,0.454,0,0,1
85197.85,6,413.89,704.56,65.46,0.584,0,168.49,23,0.459,1,0,1
3199.95,6,231.12,2342.66,3.24,0.022,1,201.5,21,0.273,0,0,0
5628.32,3,288.72,645.07,5.41,0.3,0,228.03,9,0.279,0,0,1
4693.82,1,371.44,600.51,165.25,0.716,1,199.58,22,0.092,0,0,1
3468.2,6,310.94,887.48,223.43,0.439,0,190.9,4,0.213,0,0,1
1319.13,5,335.81,1637.66,16.23,0.116,2,107.59,12,0.668,0,1,0
3862.11,2,175.41,665.48,20.92,0.324,3,193.13,1,0.195,0,0,1
834.79,4,227.61,417.29,0.5,0.339,0,148.81,20,0.219,0,0,0
1426.79,10,335.0,30.23,156.2,0.148,1,146.15,18,0.446,0,1,0
1112.8,3,337.73,94.19,124.84,0.37,0,257.52,8,0.183,0,1,0
1962.3,11,268.68,836.94,6.16,0.159,0,125.09,14,0.391,0,1,0
18300.04,2,334.06,771.84,22.71,0.111,1,335.37,17,0.146,0,0,1
279.43,3,149.79,218.53,170.04,0.147,1,338.91,5,0.238,0,0,0
3591.27,3,328.54,1015.3,6.72,0.025,0,287.65,19,0.216,0,0,1
360.43,2,359.34,262.43,103.47,0.506,4,230.39,22,0.229,0,1,0
1127.85,3,249.16,291.05,11.26,0.533,1,193.69,13,0.164,0,0,0
5371.97,6,270.06,50.69,3.54,0.233,0,113.6,11,0.284,0,0,1
1928.08,6,20.0,639.31,7.67,0.366,0,20.0,5,0.61,0,0,0
615.39,7,415.19,271.4,61.87,0.102,2,157.54,3,0.061,0,0,1
884.21,3,290.76,1367.14,7.38,0.351,0,185.43,0,0.18,0,0,0
3567.42,5,319.23,1293.44,0.19,0.098,2,107.52,4,0.674,0,0,1
870.99,2,289.38,109.98,74.74,0.137,1,111.66,0,0.275,0,0,0
2245.0,5,304.68,139.48,53.28,0.152,1,136.81,22,0.699,0,0,1
1892.34,4,296.12,309.7,105.25,0.538,1,170.88,3,0.108,0,0,0
942.37,1,426.65,695.63,43.1,0.21,0,107.71,23,0.423,0,0,0
15428.07,3,546.95,335.47,2.33,0.608,2,329.93,9,0.386,0,1,1
3408.13,3,380.22,344.94,1.09,0.053,0,182.06,16,0.516,0,0,0
238.62,8,399.51,120.71,76.93,0.042,0,188.11,12,0.196,0,1,0
2178.64,10,195.97,327.09,110.33,0.35,0,328.56,18,0.098,0,0,1
932.82,4,223.59,508.52,80.54,0.243,0,202.89,12,0.285,0,0,0
4240.49,5,293.72,3344.93,23.42,0.096,0,225.98,1,0.197,0,1,1
818.5,6,314.28,1455.95,54.25,0.177,0,300.76,12,0.603,0,1,0
1612.05,3,294.9,1259.96,4.05,0.503,0,358.11,11,0.37,0,1,0
2995.86,11,134.27,656.46,63.33,0.238,0,307.58,16,0.28,0,0,1
4297.36,5,199.59,357.14,14.36,0.035,1,51.85,1,0.046,0,0,0
544.41,5,205.86,1555.63,136.14,0.146,3,64.77,2,0.349,0,0,0
1294.01,3,305.46,341.47,20.6,0.374,2,289.87,21,0.1,0,1,0
1124.46,7,211.49,718.75,20.72,0.102,2,73.52,3,0.298,0,0,0
940.74,2,225.6,237.84,16.87,0.086,1,133.59,11,0.553,0,1,0
10566.61,5,218.25,1198.35,50.19,0.271,1,206.18,8,0.082,0,0,1
2710.75,4,325.18,578.12,5.09,0.311,0,398.77,3,0.53,0,0,0
512.41,6,394.18,1804.32,2.75,0.166,0,361.3,14,0.093,0,0,0
4527.21,4,154.17,673.13,59.56,0.145,1,116.39,4,0.39,0,0,0
15095.56,5,341.41,143.59,145.58,0.19,1,90.49,2,0.213,0,0,1
5076.95,3,141.35,3963.52,68.08,0.536,0,314.84,15,0.34,0,1,1
395.69,5,328.15,557.67,14.37,0.096,1,306.5,16,0.234,0,0,0
1114.06,6,98.04,230.9,22.48,0.339,2,50.79,14,0.481,0,0,0
6418.32,3,415.79,319.53,11.37,0.618,1,146.19,19,0.13,0,0,1
890.99,7,217.18,103.39,57.62,0.228,3,136.63,16,0.236,0,1,0
2818.1,4,275.87,61.45,13.55,0.16,3,235.76,10,0.266,0,0,1
3923.09,2,263.68,479.09,42.35,0.385,3,358.87,12,0.314,0,0,1
715.56,12,413.07,2427.13,91.46,0.264,0,148.88,17,0.202,0,1,0
1703.56,4,170.9,104.98,36.33,0.093,0,70.08,6,0.468,0,0,0
70.72,2,243.46,1864.16,45.01,0.475,2,197.24,12,0.573,0,1,0
649.12,7,268.72,1274.59,172.31,0.088,0,292.84,7,0.258,0,0,0
1404.49,1,366.91,1313.68,19.22,0.274,0,122.5,1,0.032,0,0,0
519.16,0,158.75,990.17,79.83,0.388,0,248.38,15,0.198,0,0,0
9250.3,3,20.0,716.87,58.05,0.021,1,158.48,1,0.633,0,0,1
432.62,10,112.27,103.53,6.0,0.551,0,137.32,8,0.34,0,0,0
1164.39,2,336.92,685.76,229.04,0.297,0,163.11,22,0.468,0,0,0
2060.58,9,259.1,347.06,58.49,0.551,1,135.33,20,0.478,0,0,1
7640.92,3,241.63,89.02,0.7,0.208,2,60.52,5,0.17,0,0,1
430.15,6,148.47,1303.01,64.07,0.332,2,261.84,10,0.725,0,1,0
5785.81,5,258.34,632.69,7.19,0.615,0,211.04,18,0.327,0,1,1
1826.64,3,311.09,1093.05,17.36,0.093,0,172.38,9,0.365,0,0,0
677.56,8,235.8,522.39,21.41,0.083,2,268.9,11,0.102,0,0,0
2870.1,4,405.61,641.86,18.54,0.091,1,226.0,3,0.244,0,0,0
2206.27,5,351.28,996.79,68.22,0.144,0,287.25,15,0.373,0,0,0
992.06,4,234.16,226.9,69.97,0.409,0,261.84,4,0.246,0,0,0
1938.76,4,332.86,1502.11,37.59,0.327,1,304.43,4,0.058,0,0,1
1229.9,3,258.27,437.09,41.85,0.442,0,336.72,13,0.336,0,1,0
2025.39,5,286.87,986.14,18.82,0.248,0,20.0,2,0.21,0,0,0
3505.65,3,222.23,315.72,1.17,0.046,0,231.91,12,0.121,0,0,0
8830.94,7,271.48,969.81,21.67,0.465,1,276.73,20,0.523,0,1,1
524.36,2,71.5,35.6,0.47,0.255,0,218.34,23,0.203,0,0,0
15260.66,7,154.28,2119.02,100.05,0.184,1,87.29,9,0.434,1,0,1
256.7,4,391.75,1236.78,51.19,0.493,3,222.61,13,0.161,0,1,0
1553.42,3,211.41,874.44,193.81,0.33,1,258.89,7,0.102,0,1,0
3256.2,3,123.56,313.11,10.1,0.209,0,93.86,16,0.264,0,0,0
2394.65,8,448.9,1479.11,53.62,0.214,1,196.09,23,0.559,1,1,0
970.0,10,214.34,1167.73,10.41,0.32,1,119.18,0,0.153,0,1,0
1468.33,5,314.2,482.77,50.94,0.122,1,105.28,2,0.105,0,1,0
1104.34,8,188.61,175.97,33.84,0.511,0,199.71,0,0.28,0,0,0
1002.88,1,360.88,154.4,54.63,0.059,1,102.82,3,0.068,0,0,0
4228.5,6,250.6,535.85,64.61,0.076,1,131.38,11,0.253,0,1,1
2583.8,2,48.95,1223.79,36.99,0.393,0,217.35,3,0.339,0,0,0
904.24,4,498.87,1002.71,34.04,0.318,1,202.6,7,0.274,0,0,1
4445.29,4,179.9,544.29,3.61,0.304,0,168.35,18,0.332,0,0,1
2458.48,8,212.04,182.95,22.61,0.439,0,285.63,14,0.278,0,0,1
4075.96,7,104.81,218.74,17.97,0.159,1,221.2,10,0.578,0,1,1
3393.54,4,34.35,47.49,49.12,0.22,0,68.56,19,0.788,1,1,1
789.19,7,381.54,155.64,16.15,0.446,1,150.04,18,0.09,0,0,0
1032.58,5,274.96,10.27,13.22,0.245,0,169.59,1,0.308,0,0,0
3817.28,7,20.0,897.9,94.42,0.165,1,257.95,16,0.255,0,0,1
3328.81,3,204.75,709.85,88.14,0.275,1,20.0,16,0.443,0,0,0
1770.64,4,295.36,3535.37,19.92,0.036,0,171.95,23,0.295,0,0,0
2033.12,8,322.39,1150.99,4.48,0.159,3,238.66,11,0.221,0,0,1
6487.71,7,143.79,226.15,34.42,0.491,0,197.24,15,0.278,0,0,1
1000.67,2,188.46,984.51,30.01,0.038,4,46.51,14,0.55,0,1,0
3124.71,2,168.82,9.8,101.95,0.194,0,231.02,10,0.375,0,0,1
1477.06,6,204.92,3424.02,39.59,0.489,0,118.65,10,0.469,0,0,0
1454.36,8,277.0,762.44,143.04,0.167,0,104.8,13,0.139,0,1,0
5425.02,4,347.5,101.97,33.02,0.358,2,190.78,22,0.414,0,0,1
4127.46,6,278.13,552.15,55.02,0.332,1,38.55,2,0.32,0,0,1
4078.6,8,281.92,2258.96,32.67,0.478,2,211.63,4,0.201,0,0,1
6670.69,6,226.88,1516.1,19.37,0.28,0,205.44,16,0.301,0,0,1
1846.42,4,109.37,284.11,1.39,0.566,1,194.33,21,0.38,0,0,1
3575.83,6,232.54,403.54,78.83,0.238,0,216.99,20,0.589,0,0,0
1325.75,6,198.99,1536.9,116.72,0.617,1,240.52,20,0.585,1,1,0
2500.3,4,167.51,1842.16,66.14,0.323,1,315.88,7,0.402,0,0,0
1587.41,4,252.03,1968.3,15.9,0.09,1,88.11,1,0.139,0,0,0
1992.2,5,62.47,2363.51,84.9,0.363,0,112.02,1,0.522,0,0,0
3278.55,9,194.24,555.39,47.45,0.485,0,267.75,10,0.231,0,0,1
797.74,5,167.36,1581.62,57.43,0.27,0,200.52,8,0.064,0,1,0
14652.81,6,149.23,340.91,3.43,0.46,2,177.81,0,0.46,0,0,1
661.15,9,319.54,1456.65,43.59,0.03,0,214.06,1,0.255,0,0,0
536.9,3,264.88,341.51,41.18,0.18,1,322.93,23,0.634,0,0,0
5756.65,10,306.28,749.84,54.19,0.177,1,177.64,6,0.389,0,0,1
3990.46,7,301.37,505.59,73.84,0.179,1,104.0,0,0.368,0,0,1
3374.9,6,131.67,1787.49,25.93,0.356,1,195.79,3,0.176,0,0,0
3389.19,5,381.23,55.07,8.42,0.212,0,149.28,12,0.293,0,1,1
1786.03,5,192.81,2377.51,128.76,0.139,0,140.26,20,0.166,0,0,0
737.12,9,385.52,496.06,74.93,0.281,0,168.36,10,0.524,0,0,0
1950.43,7,204.15,525.29,38.87,0.438,1,218.65,0,0.357,0,1,0
918.59,7,97.24,1407.36,21.89,0.142,0,81.85,9,0.133,0,0,0
4794.0,5,124.05,877.73,206.67,0.319,1,261.68,9,0.568,0,1,0
1560.78,2,363.84,2458.26,4.91,0.349,0,262.54,2,0.177,0,0,0
